"response","time_taken","conf_level","choice_reason","sample_size","p_value","age","academic_study","gender","beta","sigma","id","replica","pic"
"FALSE",28,3,"2",300,0.0898,3,5,"Male",1,5,232,2,"plot_turk1_300_1_5_2.png"
"FALSE",54,2,"2",300,0.0155,3,5,"Male",2,5,232,3,"plot_turk1_300_2_5_3.png"
"FALSE",44,3,"14",300,0.0295,3,5,"Male",3,12,232,2,"plot_turk1_300_3_12_2.png"
"TRUE",12,1,"1",300,0,3,5,"Male",10,12,232,2,"plot_turk1_300_10_12_2.png"
"FALSE",70,3,"2",100,0.0586,2,3,"Female",3,5,62,3,"plot_turk1_100_3_5_3.png"
"TRUE",20,3,"2",100,0,2,3,"Female",5,5,62,2,"plot_turk1_100_5_5_2.png"
"FALSE",23,3,"1",100,0.001,2,3,"Female",8,12,62,2,"plot_turk1_100_8_12_2.png"
"FALSE",18,3,"1",100,1e-04,2,3,"Female",10,12,62,2,"plot_turk1_100_10_12_2.png"
"FALSE",49,5,"2",300,0.0063,2,3,"Female",1,5,62,1,"plot_turk1_300_1_5_1.png"
"FALSE",85,5,"4",300,0.0155,2,3,"Female",2,5,62,3,"plot_turk1_300_2_5_3.png"
"FALSE",43,4,"1",300,0.0015,2,3,"Female",3,12,62,1,"plot_turk1_300_3_12_1.png"
"FALSE",65,5,"3",300,0.0295,2,3,"Female",3,12,62,2,"plot_turk1_300_3_12_2.png"
"FALSE",52,4,"1",300,0.0082,2,3,"Female",5,12,62,3,"plot_turk1_300_5_12_3.png"
"TRUE",56,4,"3",300,0,2,3,"Female",10,12,62,3,"plot_turk1_300_10_12_3.png"
"FALSE",36,3,"1",100,0.0586,7,1,"Female",3,5,137,3,"plot_turk1_100_3_5_3.png"
"TRUE",98,4,"1",100,0.0248,7,1,"Female",3,12,138,1,"plot_turk1_100_3_12_1.png"
"TRUE",35,3,"1",100,0.0248,7,1,"Female",3,12,137,1,"plot_turk1_100_3_12_1.png"
"FALSE",82,3,"1",100,0.6744,7,1,"Female",3,12,138,3,"plot_turk1_100_3_12_3.png"
"TRUE",47,3,"1",100,0,7,1,"Female",8,12,138,1,"plot_turk1_100_8_12_1.png"
"FALSE",16,3,"1",100,0,7,1,"Female",8,12,137,1,"plot_turk1_100_8_12_1.png"
"TRUE",36,4,"1",100,0,7,1,"Female",10,12,138,1,"plot_turk1_100_10_12_1.png"
"FALSE",66,4,"1",100,0.0033,7,1,"Female",10,12,138,3,"plot_turk1_100_10_12_3.png"
"FALSE",34,4,"1",300,0.0898,7,1,"Female",1,5,137,2,"plot_turk1_300_1_5_2.png"
"TRUE",22,4,"1",300,6e-04,7,1,"Female",2,5,138,2,"plot_turk1_300_2_5_2.png"
"TRUE",27,4,"1",300,0.0155,7,1,"Female",2,5,137,3,"plot_turk1_300_2_5_3.png"
"TRUE",40,3,"1",300,0,7,1,"Female",3,5,138,2,"plot_turk1_300_3_5_2.png"
"TRUE",50,4,"1",300,0,7,1,"Female",3,5,138,3,"plot_turk1_300_3_5_3.png"
"TRUE",59,3,"1",300,0.0969,7,1,"Female",1,12,138,1,"plot_turk1_300_1_12_1.png"
"TRUE",36,3,"1",300,0.0969,7,1,"Female",1,12,137,1,"plot_turk1_300_1_12_1.png"
"FALSE",19,3,"1",300,0.0015,7,1,"Female",3,12,137,1,"plot_turk1_300_3_12_1.png"
"TRUE",30,3,"1",300,0.0295,7,1,"Female",3,12,137,2,"plot_turk1_300_3_12_2.png"
"TRUE",25,3,"1",300,0,7,1,"Female",5,12,137,1,"plot_turk1_300_5_12_1.png"
"FALSE",56,3,"1",300,0.0082,7,1,"Female",5,12,138,3,"plot_turk1_300_5_12_3.png"
"TRUE",27,4,"1",300,0,7,1,"Female",10,12,138,1,"plot_turk1_300_10_12_1.png"
"TRUE",18,3,"1",300,0,7,1,"Female",10,12,137,1,"plot_turk1_300_10_12_1.png"
"TRUE",48,2,"1",100,0.0248,5,2,"Male",3,12,134,1,"plot_turk1_100_3_12_1.png"
"FALSE",60,4,"1",100,0.6744,5,2,"Male",3,12,134,3,"plot_turk1_100_3_12_3.png"
"TRUE",67,3,"12",100,0.001,5,2,"Male",8,12,134,2,"plot_turk1_100_8_12_2.png"
"TRUE",82,4,"12",100,0.0186,5,2,"Male",8,12,134,3,"plot_turk1_100_8_12_3.png"
"FALSE",116,4,"2",300,0.0898,5,2,"Male",1,5,134,2,"plot_turk1_300_1_5_2.png"
"TRUE",87,3,"1",300,6e-04,5,2,"Male",2,5,134,2,"plot_turk1_300_2_5_2.png"
"TRUE",78,1,"12",300,0,5,2,"Male",3,5,134,1,"plot_turk1_300_3_5_1.png"
"TRUE",19,1,"12",300,0,5,2,"Male",5,5,134,3,"plot_turk1_300_5_5_3.png"
"FALSE",78,4,"12",300,0.3847,5,2,"Male",1,12,134,2,"plot_turk1_300_1_12_2.png"
"FALSE",36,3,"1",300,0.0082,5,2,"Male",5,12,134,3,"plot_turk1_300_5_12_3.png"
"TRUE",22,1,"1",100,1e-04,6,5,"Female",3,5,64,1,"plot_turk1_100_3_5_1.png"
"TRUE",24,2,"1",100,0,6,5,"Female",8,12,64,1,"plot_turk1_100_8_12_1.png"
"TRUE",80,2,"1",100,0.0186,6,5,"Female",8,12,64,3,"plot_turk1_100_8_12_3.png"
"TRUE",28,2,"1",100,1e-04,6,5,"Female",10,12,64,2,"plot_turk1_100_10_12_2.png"
"FALSE",47,3,"3",100,0,6,5,"Female",16,12,64,3,"plot_turk1_100_16_12_3.png"
"FALSE",51,2,"1",300,0.1591,6,5,"Female",0,5,64,1,"plot_turk1_300_0_5_1.png"
"FALSE",45,3,"1",300,0.0063,6,5,"Female",1,5,64,1,"plot_turk1_300_1_5_1.png"
"FALSE",33,2,"1",300,0.4401,6,5,"Female",1,5,64,3,"plot_turk1_300_1_5_3.png"
"TRUE",28,1,"1",300,0,6,5,"Female",3,5,64,3,"plot_turk1_300_3_5_3.png"
"TRUE",54,3,"1",300,0.0295,6,5,"Female",3,12,64,2,"plot_turk1_300_3_12_2.png"
"FALSE",25,2,"3",300,0,6,5,"Female",10,12,64,3,"plot_turk1_300_10_12_3.png"
"FALSE",24,3,"1",100,1e-04,3,4,"Male",3,5,224,1,"plot_turk1_100_3_5_1.png"
"TRUE",39,3,"1",100,0.0248,3,4,"Male",3,12,224,1,"plot_turk1_100_3_12_1.png"
"TRUE",20,2,"1",100,0,3,4,"Male",8,12,224,1,"plot_turk1_100_8_12_1.png"
"TRUE",28,2,"1",100,0,3,4,"Male",10,12,224,1,"plot_turk1_100_10_12_1.png"
"TRUE",27,1,"1",100,0,3,4,"Male",16,12,224,1,"plot_turk1_100_16_12_1.png"
"FALSE",49,3,"1",300,0.8156,3,4,"Male",0,5,224,3,"plot_turk1_300_0_5_3.png"
"FALSE",43,2,"1",300,0.0898,3,4,"Male",1,5,224,2,"plot_turk1_300_1_5_2.png"
"TRUE",13,2,"1",300,0,3,4,"Male",3,5,224,1,"plot_turk1_300_3_5_1.png"
"FALSE",46,3,"1",300,0.0015,3,4,"Male",3,12,224,1,"plot_turk1_300_3_12_1.png"
"FALSE",15,2,"1",300,0.0082,3,4,"Male",5,12,224,3,"plot_turk1_300_5_12_3.png"
"FALSE",60,5,"2",100,0.0036,2,3,"Female",3,5,11,2,"plot_turk1_100_3_5_2.png"
"FALSE",25,4,"1",100,0.8414,2,3,"Female",1,12,11,3,"plot_turk1_100_1_12_3.png"
"FALSE",25,5,"1",100,0.6744,2,3,"Female",3,12,11,3,"plot_turk1_100_3_12_3.png"
"FALSE",10,5,"1",100,0,2,3,"Female",10,12,11,1,"plot_turk1_100_10_12_1.png"
"FALSE",10,3,"1",100,1e-04,2,3,"Female",10,12,11,2,"plot_turk1_100_10_12_2.png"
"FALSE",8,4,"2",100,0.0033,2,3,"Female",10,12,11,3,"plot_turk1_100_10_12_3.png"
"FALSE",80,4,"3",300,0.0063,2,3,"Female",1,5,11,1,"plot_turk1_300_1_5_1.png"
"TRUE",16,5,"1",300,0,2,3,"Female",3,5,11,3,"plot_turk1_300_3_5_3.png"
"TRUE",10,5,"1",300,0,2,3,"Female",5,5,11,2,"plot_turk1_300_5_5_2.png"
"FALSE",25,5,"1",300,0.0015,2,3,"Female",3,12,11,1,"plot_turk1_300_3_12_1.png"
"TRUE",21,4,"1",300,0,2,3,"Female",7,12,11,2,"plot_turk1_300_7_12_2.png"
"FALSE",36,3,"1",100,0.0586,2,1,"Female",3,5,137,3,"plot_turk1_100_3_5_3.png"
"TRUE",98,4,"1",100,0.0248,2,1,"Female",3,12,138,1,"plot_turk1_100_3_12_1.png"
"TRUE",35,3,"1",100,0.0248,2,1,"Female",3,12,137,1,"plot_turk1_100_3_12_1.png"
"FALSE",82,3,"1",100,0.6744,2,1,"Female",3,12,138,3,"plot_turk1_100_3_12_3.png"
"TRUE",47,3,"1",100,0,2,1,"Female",8,12,138,1,"plot_turk1_100_8_12_1.png"
"FALSE",16,3,"1",100,0,2,1,"Female",8,12,137,1,"plot_turk1_100_8_12_1.png"
"TRUE",36,4,"1",100,0,2,1,"Female",10,12,138,1,"plot_turk1_100_10_12_1.png"
"FALSE",66,4,"1",100,0.0033,2,1,"Female",10,12,138,3,"plot_turk1_100_10_12_3.png"
"FALSE",34,4,"1",300,0.0898,2,1,"Female",1,5,137,2,"plot_turk1_300_1_5_2.png"
