"beta","pow","sample_size","sigma","test"
0.81,0.872559293479382,100,5,"smooth6"
0.86,0.872249967510867,100,5,"smooth6"
0.91,0.872340154311673,100,5,"smooth6"
0.96,0.872731561600093,100,5,"smooth6"
1.01,0.873325897094422,100,5,"smooth6"
1.06,0.874024868512953,100,5,"smooth6"
1.11,0.874730183573982,100,5,"smooth6"
1.16,0.8753435499958,100,5,"smooth6"
1.21,0.875766675496704,100,5,"smooth6"
1.26,0.87590254412882,100,5,"smooth6"
1.31,0.875751986535662,100,5,"smooth6"
1.36,0.875449312992597,100,5,"smooth6"
1.41,0.875133747504192,100,5,"smooth6"
1.46,0.874944514075012,100,5,"smooth6"
1.51,0.875014501613102,100,5,"smooth6"
1.56,0.87524023201469,100,5,"smooth6"
1.61,0.87553433758155,100,5,"smooth6"
1.66,0.875895859305032,100,5,"smooth6"
1.71,0.876323838176487,100,5,"smooth6"
1.76,0.876817315187268,100,5,"smooth6"
1.81,0.877375331328725,100,5,"smooth6"
1.86,0.87799692759221,100,5,"smooth6"
1.91,0.878681144969075,100,5,"smooth6"
1.96,0.879427024450672,100,5,"smooth6"
2.01,0.880233607028351,100,5,"smooth6"
2.06,0.881099933693465,100,5,"smooth6"
2.11,0.882025045437364,100,5,"smooth6"
2.16,0.8830079832514,100,5,"smooth6"
2.21,0.884047788126926,100,5,"smooth6"
2.26,NA,100,5,"smooth6"
2.31,NA,100,5,"smooth6"
2.36,NA,100,5,"smooth6"
2.41,NA,100,5,"smooth6"
2.46,NA,100,5,"smooth6"
-0.01,NA,100,5,"smooth6"
-0.06,NA,100,5,"smooth6"
-0.11,0.905397959783884,100,5,"smooth6"
-0.16,0.902058147659413,100,5,"smooth6"
-0.21,0.89887541409443,100,5,"smooth6"
-0.26,0.895846455754731,100,5,"smooth6"
-0.31,0.892967969306113,100,5,"smooth6"
-0.36,0.890236651414375,100,5,"smooth6"
-0.41,0.887646787484465,100,5,"smooth6"
-0.46,0.885128196261702,100,5,"smooth6"
-0.51,0.882686242963931,100,5,"smooth6"
-0.56,0.880370514621425,100,5,"smooth6"
-0.61,0.878230598264461,100,5,"smooth6"
-0.66,0.876316080923314,100,5,"smooth6"
-0.71,0.874676549628258,100,5,"smooth6"
-0.76,0.873366424498923,100,5,"smooth6"
-0.81,0.872559293479382,100,5,"smooth6"
-0.86,0.872249967510867,100,5,"smooth6"
-0.91,0.872340154311673,100,5,"smooth6"
-0.96,0.872731561600093,100,5,"smooth6"
-1.01,0.873325897094422,100,5,"smooth6"
-1.06,0.874024868512953,100,5,"smooth6"
-1.11,0.874730183573982,100,5,"smooth6"
-1.16,0.8753435499958,100,5,"smooth6"
-1.21,0.875766675496704,100,5,"smooth6"
-1.26,0.87590254412882,100,5,"smooth6"
-1.31,0.875751986535662,100,5,"smooth6"
-1.36,0.875449312992597,100,5,"smooth6"
-1.41,0.875133747504192,100,5,"smooth6"
-1.46,0.874944514075012,100,5,"smooth6"
-1.51,0.875014501613102,100,5,"smooth6"
-1.56,0.87524023201469,100,5,"smooth6"
-1.61,0.87553433758155,100,5,"smooth6"
-1.66,0.875895859305032,100,5,"smooth6"
-1.71,0.876323838176487,100,5,"smooth6"
-1.76,0.876817315187268,100,5,"smooth6"
-1.81,0.877375331328725,100,5,"smooth6"
-1.86,0.87799692759221,100,5,"smooth6"
-1.91,0.878681144969075,100,5,"smooth6"
-1.96,0.879427024450672,100,5,"smooth6"
-2.01,0.880233607028351,100,5,"smooth6"
-2.06,0.881099933693465,100,5,"smooth6"
-2.11,0.882025045437364,100,5,"smooth6"
-2.16,0.8830079832514,100,5,"smooth6"
-2.21,0.884047788126926,100,5,"smooth6"
-2.26,NA,100,5,"smooth6"
-2.31,NA,100,5,"smooth6"
-2.36,NA,100,5,"smooth6"
-2.41,NA,100,5,"smooth6"
-2.46,NA,100,5,"smooth6"
0.01,NA,100,5,"smooth7"
0.06,NA,100,5,"smooth7"
0.11,0.90891046807264,100,5,"smooth7"
0.16,0.905922078189003,100,5,"smooth7"
0.21,0.90308156466969,100,5,"smooth7"
0.26,0.90038582883914,100,5,"smooth7"
0.31,0.897831772021796,100,5,"smooth7"
0.36,0.895416295542094,100,5,"smooth7"
0.41,0.893134141101425,100,5,"smooth7"
0.46,0.890922297928992,100,5,"smooth7"
